"Metabolite","Group Area: HILIC_Neg_WT1","Group Area: HILIC_Neg_WT2","Group Area: HILIC_Neg_WT3","Group Area: HILIC_Neg_WRN1","Group Area: HILIC_Neg_WRN2","Group Area: HILIC_Neg_WRN3","Group Area: HILIC_Neg_shPGC1B1","Group Area: HILIC_Neg_shPGC1B2","Group Area: HILIC_Neg_shPGC1B3"
"Pyridoxine.5..phosphate",-1.60121347253969,-1.43197260716693,-1.25255568027594,-0.67936320145699,-0.578245418599892,-0.272728892537309,-0.0760663656561782,-1.52328297476022,0.200462906102295
"NA..32",-3.17657673560447,-2.99217645247783,-1.9992852657316,-1.38380881758604,-1.08239879218979,-0.866631964163123,-0.769328894880815,-1.45109393151589,-0.241992268899796
"NA..33",4.25852556455697,4.5124230455488,4.1987214134175,3.14547420749344,2.87752663401074,2.73701989284925,3.12714032652266,3.49021669156601,2.76956668728575
"Bisphenol.S",-4.01633642853264,-4.10888646559948,-4.18165924998882,-1.08800945052391,-1.29255230493276,-0.316502479816386,0.494178622961719,-2.77314970896675,1.32933023421091
"NA..34",-2.91329247736065,-3.04911809259675,-3.14408120410746,2.63548992160834,2.84189509675845,3.06557048107423,2.46062773915342,2.14612142556054,3.08598312392521
"NA..35",0.0861727479331087,2.32934861244573,-1.00111376467403,-3.67269304890615,-3.4866952592655,-3.71290315347935,-4.0500490387763,-3.30248779636519,-4.50397300638035
"NA..36",4.39054571684162,4.00284816975551,4.21490882462576,4.25163909909384,4.23308736489161,3.94331343519163,3.34630577193872,3.89806046717019,3.14868591105084
"NA..37",-2.55557829705544,-1.57701984477319,-2.22008533284895,-2.76818060410462,-2.91417401419627,-3.43811328307176,-3.24135957644184,-2.78930892313185,-3.46616975953273
"NA..38",-3.92032840789318,-4.02078688584339,-4.17734196768311,-1.82365225575907,-1.68211306621033,-0.455593337297088,0.416749890828672,-4.47274884684488,1.02936709137552
"PL1B",-1.14242240011284,-1.19775004772851,-1.26712253604959,-2.08932854916281,-1.92030630035879,-1.91629327921852,-0.726122851628588,-0.774333237903079,-0.8829628167076
"Tolmetin",-2.13020302803062,-0.666758589539025,-0.37017371495946,-0.890122552193606,-1.15875582497398,-1.47692370657793,-2.4519012560577,-0.729454965923562,-2.55536337560353
"NA..39",-0.776132454225216,0.328519357527611,-0.0535379894009438,0.138310630926409,0.391846504590827,0.525027150727485,0.609511955654892,-0.14619669455767,0.771271055438877
"NA..40",-0.667794359030061,-0.0961131371362676,-0.12868185323109,-0.332841953609538,-0.258400267763179,-0.0714371771234816,-0.0611680652166129,-0.391682801202723,-0.0507736652474691
"NA..41",-3.67163396141418,-2.4802483728458,-2.50276002613488,-2.35798896947394,-3.21963690321265,-3.01894489965172,-3.30391301432046,-2.84969116039977,-3.32775863212109
"NA..42",3.47346017577959,3.16342397994314,3.68601217203966,2.99771962804757,2.91777719894423,2.62377415943197,2.59851892481284,3.38800385312728,2.21072486578831
"NA..43",-3.24129417153161,-3.4233798859843,-2.92344352480611,-1.06779553040238,-1.39707930063834,-0.500366273011231,0.430373006926445,-1.31125228775569,-0.00379632705618604
"NA..44",-1.14611162612575,-0.806001616979422,-0.265133542873677,-3.93294580192507,-3.94961457013924,-3.9054218620222,-3.6349847786795,-3.85964748891258,-3.14109129617214
"NA..45",-3.44571065912946,-3.53333141233369,-3.67800898080066,-0.327447981616729,1.19536261323227,-0.0875826817251735,-2.98150130688909,-3.42791790606299,-2.2382573592063
"NA..46",3.16510645431905,2.7239939949409,2.89475831683238,2.58750784998618,-0.377453517226492,2.36483532839945,2.24462338642397,0.420245813602918,-0.794309936383147
"X3.Oxohexadecanoic.acid",-0.32084557723682,-0.273244665763706,-1.14030937100349,-1.80699170484913,-1.61459234978564,-1.9103849074598,-2.43578918941789,-1.02616318792014,-2.55113609951227
"NA..47",-3.5752030279697,-3.74166797666711,-3.80041673325776,-1.33099955018416,-1.34906755336548,-0.97224691971503,-1.46863699685714,-2.84721907505526,-0.899681803820933
"NA..48",-3.74125856930579,-3.82814398631999,-3.93773213069485,1.31787414715632,1.14795445559133,2.05754960906975,2.73248439608088,-0.574282917984927,3.20256810722706
"X16.Hydroxyhexadecanoic.acid",-0.711220263751127,-0.350212838731565,0.0603024932530474,-1.17483168844655,-1.01761261669127,-1.0932731007626,-0.979299520669368,-1.11153492118035,-1.14292454676416
"NA..49",-4.04797814924746,-2.28529003266348,-2.06026450267626,-0.626869664399347,-0.67931424337911,-0.586590184856128,-0.960512933760388,-1.49846226498155,-0.855966479796049
"Ribose.1.arsenate",-0.609145094624861,-0.243957087928898,0.360437795265447,1.7544054768921,3.06015874791916,1.70715513504388,1.59369976558911,0.481807380158369,2.13108174719738
"NA..50",-0.258854013560931,0.167529723665201,0.197380576518825,1.75778256678264,1.62761997833691,1.69750905927534,1.42589293148906,0.752941494021389,1.44810645543706
"NA..51",2.8889014213506,1.79777447220473,2.81386005436851,3.16858406160825,3.2749979774755,3.02178634518606,2.0033944025257,1.73935491790689,2.24312809656032
"NA..52",-4.14152511428369,-4.39693140645944,-4.46943763709724,-2.68365623078364,-2.53305144222657,-2.01502468270025,-2.14948908991535,-4.59321038012022,-1.47421689332601
"NA..53",-1.54132737430787,-2.32921320437016,-1.31547941031873,0.792859491799341,0.585559800364262,0.341178344848398,-0.168797756830145,-0.563963053258739,-0.292218929600818
"N..1.Deoxy.1.fructosyl.valine",-3.30914664670349,-3.45301479428934,-2.48511829612772,-3.88118832244627,-4.71234461336827,-1.38584984270883,0.906592322820117,-3.08174581748716,1.2697990499965
"NA..54",-1.16544975620966,-0.702971180949852,-1.83631691120985,-0.809826458061583,-1.34995445303908,-0.764649137329059,-0.736812722108841,-0.84680963432929,-0.612852819485838
"NA..55",-2.19016740996922,-1.80358973682243,-1.02443032569449,0.718498990387282,0.682326367104636,1.24417016291218,1.99382060241295,0.230361669877823,3.20283141245575
"NA..56",-1.50228897401966,-1.66674644144073,-0.987743881585384,-0.71601100853761,-0.414562875595482,-0.195997128851971,-0.129298719469318,-0.836527589226435,-0.218431610419366
"Sulfametopyrazine",-3.0557606271171,-3.1980858637846,-3.29326891222093,1.20473564365318,-3.69933478142425,-3.85831195662078,-4.0319680535303,-3.40229993719457,-4.42103042909035
"X3.Iodo.2.propynyl.butylcarbamate",-4.51048866527872,-4.64210141045518,-4.69824127657925,-4.66114611780661,-4.77612603018937,-3.63711853679311,-2.48751551027188,-4.3925011929446,-1.44937486297506
"Caffeine..8...3.methoxypropyl.amino..",-3.28099939913636,-3.42579804299285,-3.59989315681061,-3.59944028970282,-5.17725226171157,-2.05726528534584,-0.0745835679054458,-3.68916370803366,0.720959426374719
"X2..amino.2..deoxyguanosine",-2.74125329690525,-1.97568868600273,-1.30668459404054,-0.405896554212614,-0.203701779458939,0.508590693275053,0.311219823382679,-0.582201110477037,0.647862071683768
"Niflumic.Acid",0.262083418688757,0.509666839790391,0.501501111722717,0.48386264192354,0.49032618342294,1.08181708185224,0.480171208558907,0,0.401629550393316
"NA..57",-1.18306725437348,0.609358652925419,0.690076398966422,0.144158831773805,0.601207856873486,0.768831677561735,0.307212745838925,0.625048807969641,0.560472794425486
"NA..58",-3.66728466400875,-3.92237479968494,-3.92908066375134,-1.52434916940886,-1.14368969028762,-0.264128580281579,-0.921387171738768,-3.93758273938709,0.0539032676295434
"Disulfamide",-1.2306989609015,-1.10168589348046,-1.23397868123901,-1.12859962767019,-1.01975282844401,-1.05789149787061,-1.31348176291486,-1.55113568827318,-3.65389978005601
"NA..59",0.555503105563478,1.18620260639534,1.2895057573353,2.7840926924686,2.64197033216136,2.78636209547892,2.45259027059175,1.92636519747002,2.44522753086415
"NA..60",-1.80834151296204,-3.29358331418008,-3.4046540336314,2.37382373850923,2.24286672842457,2.65474653241145,1.95470384551807,1.21851022403552,2.26745181919808
"Dodecafluoropentane",0.0621864116257385,0.583984345523955,1.38870029863175,2.50587645930614,2.64134292853454,3.23564787796945,3.15720476735045,1.17117887940039,3.42447275297163
